K,rho,r_50,r_75,r_95
3,0.95,0.556547465858424,0.682867809062398,0.890952635314489
3,0.96,0.446797331541065,0.548619157776693,0.7153976013843
3,0.97,0.336267771911643,0.413209728909833,0.538801706792414
3,0.98,0.225233491339641,0.27648088998792,0.36033727628974
3,0.99,0.113007043219528,0.13874458691412,0.180921119760191
4,0,5.92054277508342,7.25495304247799,9.51817881377498
4,0.01,5.88906474127772,7.21210494116082,9.46143928717175
4,0.02,5.85272273164065,7.16862216371569,9.39818642452471
4,0.03,5.82011038508141,7.12932485309795,9.33988289117198
4,0.04,5.78691445530371,7.08453481114658,9.27517025421934
4,0.05,5.75313619576288,7.03911492074035,9.21531009420084
4,0.06,5.71877682730079,6.9930667654711,9.14914562871073
4,0.07,5.68383753920969,6.94639188991292,9.08773582949492
4,0.08,5.64426870260901,6.9036955217137,9.0201270914637
4,0.09,5.60821104357128,6.85116796854701,8.95717427281326
4,0.1,5.57157700943487,6.80713772493265,8.88812845274703
4,0.11,5.53436767195088,6.75792652458919,8.823638889628
4,0.12,5.49658407604391,6.71252487473599,8.75835768822625
4,0.13,5.45822724064163,6.66203112499543,8.69228610095505
4,0.14,5.4192981594718,6.61526205356321,8.62542534436107
4,0.15,5.37979780182817,6.56349033146857,8.55777660020771
4,0.16,5.33972711330697,6.51110376180296,8.48934101651653
4,0.17,5.29908701651509,6.45810356278492,8.42011970856926
4,0.18,5.25787841175156,6.40865431696006,8.34522927922923
4,0.19,5.21972632990655,6.35438495463208,8.27932422308205
4,0.2,5.1737591718765,6.30357930076205,8.2029726726049
4,0.21,5.13085023160452,6.24804470559765,8.13539844694659
4,0.22,5.08737617423367,6.19588579822218,8.06693939840517
4,0.23,5.04333779788757,6.13908971060277,7.98835021761123
4,0.24,4.99873588197113,6.08558052677962,7.91365751129723
4,0.25,4.95357118769516,6.02752650758166,7.84270195599796
4,0.26,4.90784445858223,5.96886808287565,7.76193934225535
4,0.27,4.86155642095478,5.91336129727384,7.68491557497739
4,0.28,4.81470778440614,5.85345012076719,7.61146955232943
4,0.29,4.76729924225523,5.79659996163579,7.53714171026406
4,0.3,4.7225113533199,5.73543918542324,7.45768510514305
4,0.31,4.67394379547934,5.67724808098836,7.38164739380681
4,0.32,4.624818183269,5.61836434627588,7.30058969319673
4,0.33,4.57513514990985,5.55531095000404,7.21875979714209
4,0.34,4.52489531438711,5.49508948687233,7.14018668971088
4,0.35,4.47707308259244,5.43417667069328,7.06073303632598
4,0.36,4.4256795329672,5.37257283802757,6.972560763868
4,0.37,4.37373082460906,5.31027831158429,6.89145535282708
4,0.38,4.32122752383975,5.2472934005805,6.80566220710082
4,0.39,4.26817018446815,5.18042334197779,6.72285173873916
4,0.4,4.21455934810456,5.1161059815335,6.63546522466232
4,0.41,4.16039554446485,5.05109926117496,6.54731091807782
4,0.42,4.1056792916652,4.98540343889366,6.45838935888383
4,0.43,4.05304716172066,4.91901876083038,6.37222676656513
4,0.44,3.99718455250142,4.85194546157081,6.28518472724691
4,0.45,3.94077085518616,4.78418376443209,6.19384974512534
4,0.46,3.88631447477822,4.71573388174029,6.105104982344
4,0.47,3.82875665040368,4.64659601509952,6.01548066092701
4,0.48,3.77064900797053,4.57677035565265,5.92173437522912
4,0.49,3.71199199308714,4.50625708433427,5.83359279372525
4,0.5,3.65278604179706,4.43505637211583,5.74132894453418
4,0.51,3.59303158080243,4.36316838024358,5.64818493045819
4,0.52,3.53272902768069,4.29059326046933,5.55416057187108
4,0.53,3.47408156139838,4.21733115527443,5.45925567845545
4,0.54,3.4126397936445,4.1433821980871,5.36347004945618
4,0.55,3.35065101303603,4.06874651349343,5.26396534920464
4,0.56,3.28811560322515,3.99342421744229,5.16647618801659
4,0.57,3.22503393972478,3.91741541744426,5.06810583888681
4,0.58,3.16338761488131,3.84072021276486,4.96885406120944
4,0.59,3.09916967154406,3.76333869461227,4.86872060510835
4,0.6,3.03629866097663,3.68527094631977,4.7651629123752
4,0.61,2.9709453536947,3.60651704352298,4.66332492086376
4,0.62,2.90684999035983,3.52707705433216,4.56302753286596
4,0.63,2.84036218187389,3.44695103949968,4.45936468621259
4,0.64,2.7733301861142,3.36809697378927,4.35481877992888
4,0.65,2.7057543210227,3.28654742157418,4.24714732168611
4,0.66,2.63763489785033,3.20431182203959,4.14089502574007
4,0.67,2.5705475417629,3.1213902085242,4.03587965155135
4,0.68,2.50129593253429,3.03778260777392,3.92779841618128
4,0.69,2.43298546077648,2.95348904008384,3.81883253767165
4,0.7,2.36404068744598,2.86850951943641,3.70898167696574
4,0.71,2.2930688991333,2.78284405363593,3.59824548793027
4,0.72,2.22155494903356,2.69803353836974,3.4884375942103
